0.0	0.0	-4.241159120614967e-7
-0.041350275658469327	-0.31798191238053325	-0.859475999211108
-0.41923534961331277	-1.4039185915292072	-2.423375248494985
-0.6504644742999239	-1.8342086975841307	-3.231425484637073
-0.774771509732263	-2.010299956639812	-3.5870540827030264
-0.8704208702385754	-2.0912218642637406	-3.8342086975841965
-0.909929411522249	-2.190756021097942	-4.03257635135084
-0.9496021162862003	-2.2779061968168453	-4.197386599996592
-0.9610819339696304	-2.3113299523037933	-4.286024087039046
-0.9768762011528622	-2.3475421249582356	-4.387050666241601
-0.9891106575698739	-2.357087442864468	-4.491786016761721
-1.0059785828571695	-2.366847280153627	-4.563141925297282
-1.014664762042262	-2.37683150106023	-4.667877275816654
-1.0280287236002434	-2.37683150106023	-4.731546355686858
-1.0371721030401133	-2.387050666241907	-4.806179973984899
-1.0418170080858769	-2.4082399653118496	-4.8641719209612635
-1.0465121292942567	-2.430516360023007	-4.931118710594228
-1.060909949994899	-2.453997455872522	-4.931118710594228
-1.060909949994899	-2.453997455872522	-4.9689072714828795
-1.0707807040211934	-2.47882103959756	-5.107209969645795
